Edicao,Disciplina,2o_Ano,5o_Ano,9o_Ano
2025,Lingua Portuguesa,191.7,213.9,243.0
2024,Lingua Portuguesa,195.8,206.8,235.7
2023,Lingua Portuguesa,174.7,200.7,234.4
2022,Lingua Portuguesa,169.4,197.0,244.2
2021,Lingua Portuguesa,160.8,198.3,241.4
2019,Lingua Portuguesa,,216.8,249.6
2018,Lingua Portuguesa,,217.1,249.4
2017,Lingua Portuguesa,,214.5,242.5
2016,Lingua Portuguesa,,218.7,237.4
2015,Lingua Portuguesa,,212.9,240.8
2025,Matematica,200.8,236.3,260.3
2024,Matematica,196.7,222.5,248.5
2023,Matematica,167.2,215.3,246.3
2022,Matematica,175.2,211.3,248.6
2021,Matematica,163.8,210.4,246.8
2019,Matematica,,231.3,259.9
2018,Matematica,,227.5,255.7
2017,Matematica,,223.9,257.1
2016,Matematica,,222.6,251.1
2015,Matematica,,223.8,258.7
